Fruit,Calories (kcal),Carbs (g),Sugar (g),Fiber (g),Protein (g),Fat (g),Vitamin C (mg),Vitamin A (µg),Vitamin B6 (mg),Folate (µg),Calcium (mg),Magnesium (mg),Potassium (mg),Iron (mg)
Apple,52,14.0,10.0,2.4,0.3,0.2,4.6,54,0.041,3,6,5,107,0.12
Banana,89,23.0,12.0,2.6,1.1,0.3,8.7,64,0.367,20,5,27,358,0.26
Orange,47,12.0,9.0,2.4,0.9,0.1,53.2,225,0.06,30,40,10,181,0.1
Strawberry,32,7.7,4.9,2.0,0.7,0.3,58.8,12,0.047,24,16,13,153,0.41
Blueberry,57,14.0,10.0,2.4,0.7,0.3,9.7,54,0.052,6,6,6,77,0.28
Blackberry,43,10.0,4.9,5.3,1.4,0.5,21.0,11,0.03,25,29,20,162,0.62
Grapes,69,18.0,15.0,0.9,0.7,0.2,10.8,66,0.086,2,10,7,191,0.36
Pineapple,50,13.0,10.0,1.4,0.5,0.1,47.8,58,0.112,18,13,12,109,0.29
Mango,60,15.0,14.0,1.6,0.8,0.4,36.4,54,0.119,43,11,10,168,0.16
Watermelon,30,8.0,6.0,0.4,0.6,0.2,8.1,28,0.045,3,7,10,112,0.24
Papaya,43,11.0,7.8,1.7,0.5,0.3,60.9,47,0.038,37,20,21,182,0.25
Kiwi,41,10.0,9.0,1.8,1.1,0.5,92.7,4,0.063,25,34,17,312,0.31
Pear,57,15.0,10.0,3.1,0.4,0.1,4.3,25,0.029,7,9,7,116,0.18
Peach,39,10.0,8.0,1.5,0.9,0.3,6.6,16,0.024,4,6,9,190,0.25
Cherry,50,12.0,8.0,1.6,1.0,0.3,7.0,64,0.049,4,13,11,173,0.36
Avocado,160,9.0,0.7,6.7,2.0,15.0,10.0,7,0.257,81,12,29,485,0.55
